ID,Module,Sub-Module,Use Case Name,Actor,Preconditions,Steps,Expected Result,Priority,Notes / Edge Cases
PW-001,Public Website,Navigation,View Homepage,Website Visitor,None,"1. Open root URL /","Hero, services, portfolio preview, testimonials, and CTA sections render",High,"Test on mobile / tablet / desktop"
PW-002,Public Website,Navigation,Navigate via Desktop Header,Website Visitor,Page loaded,"1. Hover over nav items with dropdowns 2. Click a nav link","Correct dropdown appears; clicking navigates to correct page",High,"Dropdown must close when moving away"
PW-003,Public Website,Navigation,Navigate via Mobile Menu,Website Visitor,Screen ≤ 768 px,"1. Tap hamburger icon 2. Tap a nav item","Drawer opens; tap navigates to correct page and closes menu",High,"Test all links in mobile menu"
PW-004,Public Website,Navigation,View Footer,Website Visitor,Any public page,"1. Scroll to bottom","Footer shows company info, service links, social icons, email address",High,"Email must not be covered by sticky elements"
PW-005,Public Website,Navigation,Click Social Icons in Footer,Website Visitor,Footer visible,"1. Click any social icon","Opens correct social profile in new tab",Medium,""
PW-006,Public Website,About Us,View About Us Page,Website Visitor,None,"1. Navigate to /about-us","Page renders with team section, mission, and CTA",Medium,""
PW-007,Public Website,About Us,View Clients Section,Website Visitor,About Us page open,"1. Scroll to clients/partners section","Brand logos or client list renders",Low,""
CS-001,Case Studies,Gallery,Browse Portfolio Gallery,Website Visitor,None,"1. Navigate to /portfolio","Editorial rows of all published portfolio items render with images and titles",High,"Items must come from API — not hardcoded"
CS-002,Case Studies,Gallery,Filter Portfolio by Category,Website Visitor,/portfolio open,"1. Click 'Website Design' filter 2. Click 'Social Media' filter 3. Click 'All' filter","Only items matching selected category appear; count updates; animation plays",High,"Test with 0 results for a category"
CS-003,Case Studies,Gallery,View Project Row Detail on Hover,Website Visitor,/portfolio open on desktop,"1. Hover over image side of a row","Image scales up; dark overlay and 'View Case Study' pill appear",Medium,"Hover state not applicable on mobile"
CS-004,Case Studies,Gallery,Navigate to Case Study Detail from Gallery,Website Visitor,/portfolio open,"1. Click image or CTA button on any row","Navigates to /case-studies/:id for that project",High,""
CS-005,Case Studies,Listing,Browse Case Studies Grid,Website Visitor,None,"1. Navigate to /case-studies","Cards grid with thumbnail, category, and client name renders for all published items",High,"Items must come from API"
CS-006,Case Studies,Listing,Filter Case Studies by Tab,Website Visitor,/case-studies open,"1. Click Website Design tab 2. Click Social Media tab 3. Click All tab","Grid updates to show only matching items; count label updates",High,""
CS-007,Case Studies,Listing,Navigate to Case Study Detail from Grid,Website Visitor,/case-studies open,"1. Click any card","Navigates to /case-studies/:id for that project",High,""
CS-008,Case Studies,Detail,View Case Study Hero Section,Website Visitor,/case-studies/:id open,"1. Load detail page","Dark hero with banner image, title, description, category pill, and counter renders",High,"Banner image must load from API field bannerImage"
CS-009,Case Studies,Detail,View Meta Bar Strip,Website Visitor,Detail page open,"1. Scroll past hero","4-column strip showing Client / Service / Started / Delivered renders",High,""
CS-010,Case Studies,Detail,View Project Overview Section,Website Visitor,Detail page open,"1. Scroll to intro section","introDescription text renders with sticky solution image on desktop",High,""
CS-011,Case Studies,Detail,View Challenge Section,Website Visitor,Detail page open,"1. Scroll to dark challenge section","'The Challenge' section with problems text renders on dark background",High,""
CS-012,Case Studies,Detail,View Solutions Section,Website Visitor,Detail page open,"1. Scroll to solutions","Checklist of solutions renders; solution image appears on desktop",High,""
CS-013,Case Studies,Detail,View Gallery Section,Website Visitor,Detail page has imageUrls,"1. Scroll to gallery","Featured large image + remaining in masonry grid render",High,"Section hidden when imageUrls is empty"
CS-014,Case Studies,Detail,View Result / Outcome Section,Website Visitor,Detail page open,"1. Scroll to outcome","Centered blockquote with result text and client avatar renders",High,""
CS-015,Case Studies,Detail,Navigate to Next Project,Website Visitor,Detail page open & next item exists,"1. Click 'Next Project' button in footer nav","Navigates to /case-studies/:nextId and page reloads with next project data",High,""
CS-016,Case Studies,Detail,Navigate to Previous Project,Website Visitor,Detail page open & prev item exists,"1. Click 'Previous' button in footer nav","Navigates to /case-studies/:prevId",High,""
CS-017,Case Studies,Detail,Case Study Not Found,Website Visitor,Invalid ID in URL,"1. Navigate to /case-studies/invalid123","'Project not found' message shows",Medium,""
SV-001,Services,Overview,View Services Overview Page,Website Visitor,None,"1. Navigate to /services","Overview of all service categories renders with CTAs",High,""
SV-002,Services,Web Dev,View Web Development Page,Website Visitor,None,"1. Navigate to /service/web-dev","Web development service page renders with features and pricing CTA",High,""
SV-003,Services,SEO,View SEO Marketing Page,Website Visitor,None,"1. Navigate to /service/seo-marketing","SEO marketing service page renders",High,""
SV-004,Services,Ads,View Google Ads Page,Website Visitor,None,"1. Navigate to /service/google-ads","Google Ads service page renders",High,""
SV-005,Services,Social,View Social Media Marketing Page,Website Visitor,None,"1. Navigate to /service/social-media-marketing","Social media service page renders",High,""
SV-006,Services,Content,View Content Creation Page,Website Visitor,None,"1. Navigate to /service/content-creation","Content creation page renders",Medium,""
SV-007,Services,Video,View Videography Page,Website Visitor,None,"1. Navigate to /service/videography","Videography page renders",Medium,""
SV-008,Services,Pricing,View Web Development Pricing,Website Visitor,None,"1. Navigate to /pricing/web-dev","Pricing tiers and features render",High,""
SV-009,Services,Pricing,View SEO Pricing,Website Visitor,None,"1. Navigate to /pricing/seo","SEO pricing tiers render",High,""
SV-010,Services,Pricing,View Google Ads Pricing,Website Visitor,None,"1. Navigate to /pricing/google-ads","Google Ads pricing tiers render",Medium,""
SV-011,Services,Pricing,View Social Media Pricing,Website Visitor,None,"1. Navigate to /pricing/social-media","Social media pricing tiers render",Medium,""
LG-001,Lead Generation,Contact Form,Submit Contact Form,Website Visitor,None,"1. Navigate to /contact-us 2. Fill all required fields 3. Click Submit","Form submits successfully; user redirected to /greetings thank-you page",Critical,"Test required field validation; test email format validation"
LG-002,Lead Generation,Contact Form,Submit Incomplete Contact Form,Website Visitor,Contact page open,"1. Leave required fields empty 2. Click Submit","Validation errors appear; form not submitted",High,""
LG-003,Lead Generation,Plan Builder,Submit Plan Builder Form,Website Visitor,None,"1. Navigate to /build-your-plan 2. Complete plan wizard 3. Submit","Form submits; user redirected to thank-you page; lead stored in DB",High,"Test each step of the wizard"
LG-004,Lead Generation,Thank You,View Thank You Page,Website Visitor,Form successfully submitted,"1. After form submit","Confirmation message and next-step CTAs render",High,""
LG-005,Lead Generation,Marketing Landing,Submit Lead Form on Marketing Solutions Page,Website Visitor,None,"1. Navigate to /marketing-solutions 2. Fill and submit form","Lead captured; confirmation shown; sticky mobile CTA hides near footer",High,"Test sticky CTA behavior on mobile"
CA-001,Careers,Browse,View Career Openings Page,Website Visitor,None,"1. Navigate to /careers","Active job openings render as cards",High,"If no openings: empty state renders"
CA-002,Careers,Apply,Submit Career Application,Website Visitor,Career page open with at least one active opening,"1. Click 'Apply' on a job 2. Fill application form 3. Submit","Application submitted; confirmation shown",High,"Test file upload for CV if applicable"
